Version	Date	Time	Author	Comment
47	26-Apr-2017	13:43	Philip Swannell	Added utility functions for inflation
46	24-Apr-2017	14:00	Philip Swannell	Added method IsInflationSheet
45	28-Mar-2017	15:17	Philip Swannell	Tweaks to methods SourceRCode and SaveREnvironmnet to have "Don't show this message again" check boxes.
44	28-Mar-2017	13:45	Philip Swannell	Upped MinVersionMDW to 105 for work on allowing Numeraire currency to be other than EUR.
43	28-Mar-2017	11:29	Philip Swannell	Tweak to method RangeFromMarketDataBook to handle BaseCCY to Numeraire switch.
42	13-Mar-2017	16:36	Philip Swannell	Tweak to method SaveREnvironment to work better with version 1.0 of RTVS.
41	22-Feb-2017	10:25	Philip Swannell	Further improvements to method TestInstallation so that errors thrown are easier to understand.
40	21-Feb-2017	17:54	Philip Swannell	Improvements to method TestInstallation so that errors thrown are easier to understand.
39	20-Feb-2017	12:45	Philip Swannell	Change to method GetColumnFromTradesWorkbook to no longer require data in the trades workbook to reside in "Tables" but instead assume that data is in a block of cells starting at cell A1. Will allow Boris Le Bris to auto-generate trade files.
38	20-Feb-2017	12:27	Philip Swannell	Change to method CheckTradesWorkbook to no longer require data in the trades workbook to reside in "Tables" but instead assume that data is in a block of cells starting at cell A1. Will allow Boris Le Bris to auto-generate trade files.
37	03-Feb-2017	10:09	Philip Swannell	Tweak to method MyAnchorDate to give better error message when model has not been built.
36	25-Jan-2017	17:59	Philip Swannell	Tweak to method ShowSelectTrades - fixes small bug seen in Munich.
35	23-Jan-2017	11:21	Philip Swannell	Final release before trip to Munich
34	20-Jan-2017	11:42	Philip Swannell	Changed method CheckLinesWorkbook since we now save the EaD method and the CVA Capital Charge method in a single cell.
33	20-Jan-2017	10:05	Philip Swannell	Upped MinVersionMDW to 100 following Hermione's fix to feeding from text file.
32	18-Jan-2017	15:12	Philip Swannell	Improvements to ShowSelectTrades
31	13-Jan-2017	10:15	Philip Swannell	Method CheckLinesWorkbook now checks for presence "DVA benefit %" and "FVA charge %"
30	12-Jan-2017	15:37	Philip Swannell	Removed AnnotateBankNames2
29	12-Jan-2017	15:05	Philip Swannell	Moved methods AnnotateBankNames and GetColumnFromLinesBook to this addin from Cayley.
28	12-Jan-2017	14:21	Philip Swannell	Change in sParseDCT to allow 30/360 on floating leg. Airbus have such a trade.
27	11-Jan-2017	12:32	Philip Swannell	Moved method CheckLinesWorkbook from Cayley to this addin, since SCRiPT will start to use the Lines workbook.
26	10-Jan-2017	17:28	Philip Swannell	Tweak to AnnotateBankNames2
25	09-Jan-2017	19:03	Philip Swannell	Tweak to UncompressTrades.
24	09-Jan-2017	08:36	Philip Swannell	New function UncompressTrades - the inverse of (the composition of) CompressFxForwards and CompressFxOptions
23	03-Jan-2017	10:18	Philip Swannell	Trying to solve "link" problems...
22	03-Jan-2017	10:06	Philip Swannell	Release from Solum's offices to get Git up to date.
21	01-Jan-2017	11:20	Philip Swannell	Cleaned code with MZTools
20	01-Jan-2017	11:07	Philip Swannell	Re-wrote CompressFxTrades as CompressFxTrades2 to compress to FxForwardStrip rather than FixedCashflows. Makes Capital calculations easier (i.e. makes them possible).
19	29-Dec-2016	11:56	Philip Swannell	Method AnnotateBankNames2 can now be called from SCRiPT.
18	29-Dec-2016	10:48	Philip Swannell	Moved method CheckMarketWorkbook from Cayley to this addin.
17	29-Dec-2016	08:23	Philip Swannell	Tweaks to ShowSelectTrades
16	26-Dec-2016	19:58	Philip Swannell	Fixes to method CompressFxTrades
15	26-Dec-2016	16:14	Philip Swannell	Added function CompressFxOptions. Not yet tested.
14	24-Dec-2016	17:21	Philip Swannell	Tweaks to ShowSelectTrades
13	24-Dec-2016	16:18	Philip Swannell	Tweaks to ShowSelectTrades
12	24-Dec-2016	15:34	Philip Swannell	Tweaks to ShowSelectTrades
11	23-Dec-2016	12:22	Philip Swannell	Tweaks to ShowSelectTrades
10	23-Dec-2016	11:34	Philip Swannell	Tweaks to ShowSelectTrades
9	23-Dec-2016	10:44	Philip Swannell	Method CheckTradesWorkbook moved here from Cayley so that it can be used from SCRiPT.
8	22-Dec-2016	09:21	Philip Swannell	Tweaks to ShowSelectTrades
7	21-Dec-2016	14:49	Philip Swannell	Method ShowSelectTrades now ready to use.
6	21-Dec-2016	07:41	Philip Swannell	Moved method CurrenciesFromQuery from Cayley to this workbook.
5	13-Dec-2016	17:47	Philip Swannell	Moved GetTradesInRFormat from Cayley to this addin so that we can call it from SCRiPT.
4	13-Dec-2016	15:54	Philip Swannell	Copied functions  FirstElementOf, InstallPackages, LoggingIsOn, LoggingSwitchOn, SaveDataframe, ShowLogFiles from Cayley workbook.
3	13-Dec-2016	15:31	Philip Swannell	Copied functions ArePackagesMissing, CleanOutREnvironment, SourceRCode, stopImplicitCluster, To1Based2D from Cayley.
2	13-Dec-2016	14:17	Philip Swannell	Moved code from modSCRiPTUtils of SolumAddin.xlam.
1	12-Dec-2016	14:35	Philip Swannell	First version. This addin should contain common code for SCRiPT and Cayley workbooks. It can call SolumAddin and SolumSCRiPTExcel C# code. - i.e. is above them in the call stack.
